Name,City,State
NorthGate Brewing ,Minneapolis,Minestota
Against the Grain Brewery,Louisville,Kentucky
Jack's Abby Craft Lagers,Framingham,Massachusetts
Mike Hess Brewing Company,San Diego,California
Fort Point Beer Company,San Francisco,California
COAST Brewing Company,Charleston,South Carolina
Great Divide Brewing Company,Denver,Colorado
Tapistry Brewing,Bridgman,Michigan
Big Lake Brewing,Holland,Michigan
The Mitten Brewing Company,Grand Rapids,Michigan
Brewery Vivant,Grand Rapids,Michigan
Petoskey Brewing,Petoskey,Michigan
Blackrocks Brewery,Marquette,Michigan
Perrin Brewing Company,Comstock Park,Michigan
Witch's Hat Brewing Company,South Lyon,Michigan
Founders Brewing Company,Grand Rapids,Michigan
Flat 12 Bierwerks,Indianapolis,Indiana
Tin Man Brewing Company,Evansville,Indiana
Black Acre Brewing Co.,Indianapolis,Indiana
Brew Link Brewing,Plainfield,Indiana
Bare Hands Brewery,Granger,Indiana
Three Pints Brewing,Martinsville,Indiana
Four Fathers Brewing ,Valparaiso,Indiana
Indiana City Brewing,Indianapolis,Indiana
Burn 'Em Brewing,Michigan City,Indiana
Sun King Brewing Company,Indianapolis,Indiana
Evil Czech Brewery,Mishawaka,Indiana
450 North Brewing Company,Columbus,Indiana
Taxman Brewing Company,Bargersville,Indiana
Cedar Creek Brewery,Seven Points,Texas
SanTan Brewing Company,Chandler,Arizona
Boulevard Brewing Company,Kansas City,Missouri
James Page Brewing Company,Stevens Point,Wisconsin
The Dudes' Brewing Company,Torrance,California
Ballast Point Brewing Company,San Diego,California
Anchor Brewing Company,San Francisco,California
Figueroa Mountain Brewing Company,Buellton,California
Avery Brewing Company,Boulder,Colorado
Twisted X Brewing Company,Dripping Springs,Texas
Gonzo's BiggDogg Brewing,Kalamazoo,Michigan
Big Muddy Brewing,Murphysboro,Illinois
Lost Nation Brewing,East Fairfield,Vermont
Rising Tide Brewing Company,Portland,Maine
Rivertowne Brewing Company,Export,Pennsylvania
Revolution Brewing Company,Chicago,Illinois
Tallgrass Brewing Company,Manhattan,Kansas
Sixpoint Craft Ales,Brooklyn,New York
White Birch Brewing,Hooksett,New Hampshire
Firestone Walker Brewing Company,Paso Robles,California
SweetWater Brewing Company,Atlanta,Georgia
Flying Mouse Brewery,Troutville,Virginia
Upslope Brewing Company,Boulder,Colorado
Pipeworks Brewing Company,Chicago,Illinois
Bent Brewstillery,Roseville,Minnesota
Flesk Brewing Company,Lombard,Illinois
Pollyanna Brewing Company,Lemont,Illinois
BuckleDown Brewing,Lyons,Illinois
Destihl Brewery,Bloomington,Illinois
Summit Brewing Company,St. Paul,Minnesota
Latitude 42 Brewing Company,Portage,Michigan
4 Hands Brewing Company,Saint Louis,Missouri
Surly Brewing Company,Brooklyn Center,Minnesota
Against The Grain Brewery,Louisville,Kentucky
Crazy Mountain Brewing Company,Edwards,Colorado
SlapShot Brewing Company,Chicago,Illinois
Mikerphone Brewing,Chicago,Illinois
Freetail Brewing Company,San Antonio,Texas
3 Daughters Brewing,St Petersburg,Florida
Red Shedman Farm Brewery and Hop...,Mt. Airy,Maryland
Appalachian Mountain Brewery,Boone,North Carolina
Birdsong Brewing Company,Charlotte,North Carolina
Union Craft Brewing,Baltimore,Maryland
Atwater Brewery,Detroit,Michigan
Ale Asylum,Madison,Wisconsin
Two Brothers Brewing Company,Warrenville,Illinois
Bent Paddle Brewing Company,Duluth,Minnesota
Bell's Brewery,Kalamazoo,Michigan
Blue Owl Brewing,Austin,Texas
Speakasy Ales & Lagers,San Francisco,California
Black Tooth Brewing Company,Sheridan,Wyoming
Hopworks Urban Brewery,Portland,Oregon
Epic Brewing,Denver,Colorado
New Belgium Brewing Company,Fort Collins,Colorado
Sierra Nevada Brewing Company,Chico,California
Keweenaw Brewing Company,Houghton,Michigan
Brewery Terra Firma,Traverse City,Michigan
Grey Sail Brewing Company,Westerly,Rhode Island
Kirkwood Station Brewing Company,Kirkwood,Missouri
Goose Island Brewing Company,Chicago,Illinois
Broad Brook Brewing LLC,East Windsor,Connecticut
The Lion Brewery,Wilkes-Barre,Pennsylvania
Madtree Brewing Company,Cincinnati,Ohio
Jackie O's Pub & Brewery,Athens,Ohio
Rhinegeist Brewery,Cincinnati,Ohio
Warped Wing Brewing Company,Dayton,Ohio
Blackrocks Brewery,Marquette,Massachusetts
Catawba Valley Brewing Company,Morganton,North Carolina
Tr̦egs Brewing Company,Hershey,Pennsylvania
Mission Brewery,San Diego,California
Christian Moerlein Brewing Company,Cincinnati,Ohio
West Sixth Brewing,Lexington,Kentucky
Coastal Extreme Brewing Company,Newport,Rhode Island
King Street Brewing Company,Anchorage,Alaska
Beer Works Brewery,Lowell,Massachusetts
Lone Tree Brewing Company,Lone Tree,Colorado
Four String Brewing Company,Columbus,Ohio
Glabrous Brewing Company,Pineland,Maine
Bonfire Brewing Company,Eagle,Colorado
Thomas Hooker Brewing Company,Bloomfield,Connecticut
"Woodstock Inn, Station & Brewery",North Woodstock,New Hampshire
Renegade Brewing Company,Denver,Colorado
Mother Earth Brew Company,Vista,California
Black Market Brewing Company,Temecula,California
Vault Brewing Company,Yardley,Pennsylvania
Jailbreak Brewing Company,Laurel,Maryland
Smartmouth Brewing Company,Norfolk,Virginia
Base Camp Brewing Co.,Portland,Oregon
Alameda Brewing,Portland,Oregon
Southern Star Brewing Company,Conroe,Texas
Steamworks Brewing Company,Durango,Colorado
Horny Goat Brew Pub,Milwaukee,Wisconsin
Cheboygan Brewing Company,Cheboygan,Michigan
Center of the Universe Brewing C...,Ashland,Virginia
Ipswich Ale Brewery,Ipswich,Massachusetts
Griffin Claw Brewing Company,Birmingham,Michigan
Karbach Brewing Company,Houston,Texas
Uncle Billy's Brewery and Smokeh...,Austin,Texas
Deep Ellum Brewing Company,Dallas,Texas
Real Ale Brewing Company,Blanco,Texas
Straub Brewery,St Mary's,Pennsylvania
Shebeen Brewing Company,Wolcott,Connecticut
Stevens Point Brewery,Stevens Point,Wisconsin
Weston Brewing Company,Weston,Missouri
Southern Prohibition Brewing Com...,Hattiesburg,Mississippi
Minhas Craft Brewery,Monroe,Wisconsin
Pug Ryan's Brewery,Dillon,Colorado
Hops & Grains Brewing Company,Austin,Texas
Sietsema Orchards and Cider Mill,Ada,Michigan
Summit Brewing Company,St Paul,Minnesota
Core Brewing & Distilling Company,Springdale,Arkansas
Independence Brewing Company,Austin,Texas
Cigar City Brewing Company,Tampa,Florida
Third Street Brewhouse,Cold Spring,Minnesota
Narragansett Brewing Company,Providence,Rhode Island
Grimm Brothers Brewhouse,Loveland,Colorado
Cisco Brewers,Nantucket,Massachusetts
Angry Minnow,Hayward,Wisconsin
Platform Beer Company,Cleveland,Ohio
Odyssey Beerwerks,Arvada,Colorado
